subset,split,track_id,genre_top,genres
medium,training,3,Hip-Hop,[21]
medium,training,134,Hip-Hop,[21]
medium,training,136,Rock,"[45, 58]"
medium,training,139,Folk,[17]
medium,test,181,Rock,[27]
medium,training,198,Folk,[17]
medium,training,208,Folk,[17]
medium,training,209,Folk,[17]
medium,training,237,Jazz,[4]
medium,training,247,Rock,[12]
medium,training,249,Rock,[12]
medium,training,257,Rock,[31]
medium,training,258,Rock,[31]
medium,training,341,Rock,[89]
medium,training,343,Rock,[89]
medium,training,352,Rock,[89]
medium,training,369,Rock,[89]
medium,training,397,Electronic,[15]
medium,training,398,Electronic,[15]
medium,training,399,Electronic,[15]
medium,training,400,Electronic,[15]
medium,training,405,Electronic,[15]
medium,training,414,Electronic,[15]
medium,training,425,Experimental,[1]
medium,validation,458,Rock,[36]
medium,training,512,Rock,[27]
medium,training,535,Folk,[17]
medium,training,536,Folk,[17]
medium,training,537,Folk,[17]
medium,training,550,Electronic,[15]
medium,test,564,Rock,[12]
medium,training,573,Rock,[25]
medium,validation,583,Hip-Hop,[21]
medium,validation,584,Hip-Hop,[21]
medium,validation,585,Hip-Hop,[21]
medium,training,590,Jazz,[37]
medium,training,591,Jazz,[37]
medium,training,592,Jazz,[37]
medium,training,593,Jazz,[37]
medium,validation,603,Folk,[17]
medium,training,605,Rock,[12]
medium,training,608,Rock,[12]
medium,training,619,Folk,[17]
medium,training,629,Folk,[17]
medium,training,631,Folk,[17]
medium,training,633,Rock,[12]
medium,training,635,Rock,[12]
medium,training,664,Electronic,[15]
medium,training,665,Electronic,[15]
medium,training,668,Hip-Hop,[21]
medium,training,669,Hip-Hop,[21]
medium,training,672,Hip-Hop,[21]
medium,training,673,Hip-Hop,[21]
medium,training,674,Hip-Hop,[21]
medium,training,677,Hip-Hop,[21]
medium,training,679,Hip-Hop,[21]
medium,training,680,Hip-Hop,[21]
medium,training,681,Hip-Hop,[21]
medium,training,684,Hip-Hop,[21]
medium,training,686,Hip-Hop,[21]
medium,training,696,Rock,[45]
medium,training,698,Rock,[45]
medium,training,701,Rock,[45]
medium,training,702,Rock,[45]
medium,training,703,Rock,[45]
medium,training,717,Folk,[17]
medium,training,720,Rock,[12]
medium,test,734,Soul-RnB,[11]
medium,test,735,Soul-RnB,[11]
medium,test,736,Soul-RnB,[11]
medium,test,737,Soul-RnB,[11]
medium,test,738,Soul-RnB,[11]
medium,test,739,Soul-RnB,[11]
medium,test,740,Soul-RnB,[11]
medium,test,741,Soul-RnB,[11]
medium,test,742,Soul-RnB,[11]
medium,test,743,Soul-RnB,[11]
medium,test,744,Soul-RnB,[11]
medium,test,745,Soul-RnB,[11]
medium,test,747,Soul-RnB,[11]
medium,test,748,Soul-RnB,[11]
medium,test,749,Soul-RnB,[11]
medium,test,750,Soul-RnB,[11]
medium,test,751,Soul-RnB,[11]
medium,test,752,Soul-RnB,[11]
medium,test,753,Soul-RnB,[11]
medium,test,754,Soul-RnB,[11]
medium,test,755,Soul-RnB,[11]
medium,test,756,Soul-RnB,[11]
medium,test,757,Soul-RnB,[11]
medium,test,758,Soul-RnB,[11]
medium,test,759,Soul-RnB,[11]
medium,test,760,Soul-RnB,[11]
medium,test,761,Soul-RnB,[11]
medium,test,762,Soul-RnB,[11]
medium,test,763,Soul-RnB,[11]
medium,test,764,Soul-RnB,[11]
medium,test,765,Soul-RnB,[11]
medium,test,766,Soul-RnB,[11]
medium,test,767,Soul-RnB,[11]
medium,test,768,Soul-RnB,[11]
medium,test,769,Soul-RnB,[11]
medium,test,770,Soul-RnB,[11]
medium,test,771,Soul-RnB,[11]
medium,test,772,Soul-RnB,[11]
medium,test,773,Soul-RnB,[11]
medium,test,774,Soul-RnB,[11]
medium,test,775,Soul-RnB,[11]
medium,test,776,Soul-RnB,[11]
medium,training,819,Experimental,[1]
medium,training,820,Experimental,[1]
medium,training,823,Pop,[10]
medium,training,824,Rock,"[12, 45, 58, 66]"
medium,training,826,Rock,"[12, 45, 58, 66]"
medium,training,829,Rock,"[12, 45, 58, 66]"
medium,training,830,Rock,"[12, 45, 58, 66]"
medium,training,831,Jazz,[37]
medium,training,832,Jazz,[37]
medium,training,833,Jazz,[37]
medium,training,834,Jazz,[37]
medium,training,835,Jazz,[37]
medium,test,854,Experimental,[32]
medium,training,855,Rock,[12]
medium,training,858,Rock,[12]
medium,training,861,Rock,[12]
medium,training,863,Rock,[12]
medium,training,868,Experimental,[47]
medium,training,878,Electronic,[15]
medium,training,881,Electronic,[15]
medium,training,889,Electronic,[15]
medium,test,891,Folk,[49]
medium,test,893,Folk,[49]
medium,test,894,Folk,[49]
medium,test,895,Folk,[49]
medium,training,896,Rock,"[25, 111]"
medium,training,898,Experimental,[32]
medium,training,992,Rock,[12]
medium,validation,1014,Rock,[31]
medium,validation,1015,Rock,[31]
medium,validation,1016,Rock,[31]
medium,validation,1017,Rock,[31]
medium,validation,1018,Rock,[31]
medium,training,1022,Jazz,[4]
medium,training,1023,Jazz,[4]
medium,training,1028,Rock,[12]
medium,training,1029,Rock,[12]
medium,training,1041,Rock,[58]
medium,test,1042,Blues,[3]
medium,test,1043,Blues,[3]
medium,test,1044,Blues,[3]
medium,test,1045,Blues,[3]
medium,test,1046,Blues,[3]
medium,test,1047,Blues,[3]
medium,test,1048,Blues,[3]
medium,training,1052,Rock,[12]
medium,training,1058,Jazz,[4]
medium,training,1059,Jazz,[4]
medium,training,1060,Jazz,[4]
medium,training,1061,Jazz,[4]
medium,training,1063,Jazz,[4]
medium,training,1064,Jazz,[4]
medium,test,1068,Experimental,[22]
medium,test,1071,Experimental,[22]
medium,test,1072,Experimental,[22]
medium,validation,1085,Electronic,[15]
medium,validation,1086,Electronic,[15]
medium,validation,1088,Electronic,[15]
medium,validation,1089,Electronic,[15]
medium,training,1093,Experimental,[30]
medium,training,1095,Experimental,[30]
medium,training,1105,Rock,[12]
medium,training,1106,Rock,[12]
medium,training,1107,Rock,[12]
medium,training,1108,Rock,[12]
medium,validation,1117,Rock,[12]
medium,validation,1118,Rock,[12]
medium,training,1121,Electronic,[15]
medium,training,1123,Rock,[12]
medium,training,1125,Rock,[12]
medium,training,1126,Rock,[12]
medium,training,1130,Rock,[12]
medium,training,1131,Rock,[12]
medium,validation,1138,Rock,[12]
medium,training,1147,Rock,[12]
medium,training,1148,Rock,[12]
medium,training,1149,Rock,[12]
medium,training,1150,Rock,[12]
medium,training,1151,Jazz,[37]
medium,training,1152,Jazz,[37]
medium,training,1153,Jazz,[37]
medium,training,1154,Jazz,[37]
medium,training,1155,Jazz,[37]
medium,training,1156,Rock,[12]
medium,training,1157,Rock,[12]
medium,training,1161,Rock,[12]
medium,training,1162,Rock,[12]
medium,training,1165,Rock,[12]
medium,training,1179,Rock,[12]
medium,training,1183,Rock,[12]
medium,training,1199,Folk,[17]
medium,training,1201,Rock,[12]
medium,training,1202,Rock,[12]
medium,training,1203,Rock,[12]
medium,training,1204,Rock,[12]
medium,validation,1279,Rock,[12]
medium,validation,1280,Rock,[12]
medium,validation,1289,Rock,[12]
medium,validation,1290,Rock,[12]
medium,validation,1292,Rock,[12]
medium,validation,1298,Rock,[12]
medium,training,1311,Folk,[103]
medium,training,1339,Electronic,[15]
medium,training,1354,Rock,[12]
medium,training,1356,Rock,[12]
medium,training,1358,Rock,[12]
medium,training,1360,Rock,[12]
medium,training,1361,Rock,[12]
medium,training,1363,Rock,[12]
medium,training,1366,Rock,[12]
medium,validation,1382,Rock,[64]
medium,validation,1383,Rock,[64]
medium,training,1413,Rock,[12]
medium,training,1416,Rock,[12]
medium,training,1418,Rock,[12]
medium,training,1419,Rock,[12]
medium,training,1450,Rock,[12]
medium,training,1451,Rock,[12]
medium,training,1481,Electronic,[15]
medium,training,1483,Electronic,[15]
medium,training,1485,Electronic,[15]
medium,training,1498,Experimental,[1]
medium,training,1526,Rock,[12]
medium,training,1528,Rock,[12]
medium,training,1534,Rock,[12]
medium,training,1545,Folk,[33]
medium,training,1547,Electronic,[42]
medium,training,1548,Electronic,[42]
medium,training,1550,Electronic,[42]
medium,training,1551,Electronic,[42]
medium,training,1552,Electronic,[42]
medium,training,1553,Electronic,[42]
medium,training,1554,Electronic,[42]
medium,training,1555,Electronic,[42]
medium,training,1556,Electronic,[42]
medium,training,1559,Experimental,[1]
medium,training,1607,Rock,[12]
medium,training,1634,Electronic,[15]
medium,training,1635,Electronic,[15]
medium,training,1638,Electronic,[15]
medium,training,1640,Electronic,[15]
medium,training,1652,Pop,[10]
medium,training,1671,Experimental,[30]
medium,training,1674,Experimental,[30]
medium,training,1677,Electronic,[15]
medium,training,1678,Electronic,[15]
medium,training,1705,Folk,[17]
medium,training,1730,Rock,[71]
medium,training,1734,Experimental,[38]
medium,training,1738,Experimental,[38]
medium,training,1739,Experimental,[38]
medium,training,1783,Rock,[12]
medium,training,1793,Rock,[12]
medium,training,1797,Rock,[12]
medium,training,1799,Rock,[12]
medium,training,1804,Rock,[12]
medium,training,1810,Rock,[12]
medium,training,1822,Rock,[12]
medium,training,1831,Rock,[12]
medium,training,1836,Rock,[12]
medium,training,1837,Rock,[12]
medium,training,1884,Rock,[12]
medium,training,1888,Rock,[12]
medium,training,1889,Rock,[12]
medium,training,1890,Rock,[12]
medium,validation,1894,Folk,[17]
medium,validation,1896,Folk,[17]
medium,training,1898,Rock,[12]
medium,training,1899,Rock,[12]
medium,training,1900,Rock,[12]
medium,training,1901,Rock,[12]
medium,training,1916,Folk,[17]
medium,training,1926,Folk,[17]
medium,validation,1940,Rock,[12]
medium,validation,1941,Rock,[12]
medium,validation,1944,Rock,[12]
medium,training,1963,Jazz,[37]
medium,training,1964,Jazz,[37]
medium,training,1965,Jazz,[37]
medium,training,1966,Jazz,[37]
medium,training,1967,Jazz,[37]
medium,training,1995,Rock,[53]
medium,training,1996,Jazz,[74]
medium,training,2125,Rock,[25]
medium,validation,3268,Electronic,[15]
medium,training,3401,Rock,[66]
medium,training,3446,Spoken,[188]
medium,training,3449,Spoken,[188]
medium,training,3450,Spoken,[188]
medium,training,3452,Electronic,[15]
medium,training,3453,Electronic,[15]
medium,training,3454,Electronic,[15]
medium,training,3455,Electronic,[15]
medium,training,3458,Electronic,[15]
medium,training,3459,Country,[63]
