subset,split,track_id,genre_top,genres
small,training,2,Hip-Hop,[21]
small,training,5,Hip-Hop,[21]
small,training,10,Pop,[10]
small,training,140,Folk,[17]
small,training,141,Folk,[17]
small,validation,148,Experimental,[1]
small,test,182,Rock,[27]
small,training,190,Folk,[17]
small,training,193,Folk,[17]
small,training,194,Folk,[17]
small,training,197,Folk,[17]
small,training,200,Folk,[17]
small,training,203,Folk,[17]
small,training,204,Folk,[17]
small,training,207,Folk,[17]
small,training,210,Folk,[17]
small,training,211,Folk,[17]
small,training,212,Folk,[17]
small,training,213,Pop,[10]
small,training,255,Rock,[12]
small,training,256,Rock,[31]
small,training,368,Rock,[89]
small,training,424,Experimental,[1]
small,validation,459,Rock,[36]
small,training,534,Folk,[17]
small,training,540,Folk,[17]
small,training,546,Folk,[17]
small,training,574,Rock,[25]
small,validation,602,Folk,[17]
small,training,615,Experimental,[41]
small,training,620,Folk,[17]
small,training,621,Folk,[17]
small,training,625,Folk,[17]
small,training,666,International,[79]
small,training,667,International,[79]
small,training,676,Hip-Hop,[21]
small,validation,690,Rock,[12]
small,training,694,Hip-Hop,[21]
small,training,695,Hip-Hop,[21]
small,test,704,International,[46]
small,test,705,International,[46]
small,test,706,International,[46]
small,test,707,International,[46]
small,test,708,International,[46]
small,test,709,International,[46]
small,training,714,Folk,[17]
small,training,715,Folk,[17]
small,training,716,Folk,[17]
small,training,718,Folk,[17]
small,training,777,Rock,[12]
small,training,814,Folk,[17]
small,training,821,Pop,[10]
small,training,822,Pop,[10]
small,training,825,Rock,"[12, 45, 58, 66]"
small,training,853,International,[2]
small,test,890,Folk,[49]
small,test,892,Folk,[49]
small,training,897,Experimental,[32]
small,validation,993,Rock,[12]
small,training,995,Experimental,[32]
small,training,997,Experimental,[32]
small,training,998,Experimental,[32]
small,training,1039,Rock,[53]
small,training,1040,Rock,[53]
small,test,1066,Experimental,[22]
small,test,1069,Experimental,[22]
small,test,1073,Experimental,[22]
small,test,1075,Experimental,[22]
small,training,1082,International,[2]
small,training,1083,Experimental,[1]
small,validation,1087,Rock,[12]
small,training,1102,Rock,[12]
small,training,1193,Folk,[17]
small,training,1195,Folk,[17]
small,training,1196,Folk,[17]
small,training,1197,Folk,[17]
small,test,1249,Experimental,[32]
small,test,1259,Experimental,[32]
small,training,1270,Rock,[25]
small,training,1276,Experimental,[22]
small,training,1277,Experimental,[22]
small,training,1278,Experimental,[22]
small,training,1417,Rock,[12]
small,training,1427,Rock,[12]
small,training,1443,Experimental,[47]
small,training,1482,Electronic,[15]
small,training,1510,Experimental,[32]
small,training,1544,Folk,[33]
small,training,1642,Pop,[10]
small,training,1644,Pop,[10]
small,training,1649,Pop,[10]
small,training,1661,Pop,[10]
small,training,1663,Pop,[10]
small,training,1666,Pop,[10]
small,training,1673,Experimental,[30]
small,training,1680,International,[2]
small,training,1681,International,[2]
small,training,1682,International,[2]
small,training,1683,International,[2]
small,training,1684,International,[2]
small,training,1685,International,[2]
small,training,1686,International,[2]
small,training,1687,International,[2]
small,training,1688,International,[2]
small,training,1689,International,[2]
small,training,1701,Folk,[17]
small,training,1702,Folk,[17]
small,training,1703,Folk,[17]
small,training,1704,Folk,[17]
small,training,1706,Rock,[12]
small,training,1720,Rock,[58]
small,training,1732,Experimental,[38]
small,training,1733,Experimental,[38]
small,training,1735,Experimental,[38]
small,training,1736,Experimental,[38]
small,training,1883,Rock,[12]
small,training,1891,Rock,[12]
small,validation,1893,Folk,[17]
small,training,1924,Folk,[17]
small,training,1925,Folk,[17]
small,training,1929,Experimental,[1]
small,training,1930,Rock,[98]
small,validation,2012,Experimental,[32]
small,training,2096,Experimental,[38]
small,training,2097,Folk,[17]
small,training,2099,Pop,[76]
small,validation,3263,Folk,[17]
small,validation,3264,Folk,[17]
small,validation,3265,Folk,[17]
small,validation,3266,Folk,[17]
small,training,3270,Folk,[17]
small,training,3271,Folk,[17]
small,training,3272,Folk,[17]
small,training,3273,Folk,[17]
small,training,3274,Folk,[17]
small,training,3492,Rock,[12]
small,training,3532,Pop,[76]
small,training,3533,Pop,[76]
small,training,3534,Pop,[76]
small,training,3535,Pop,[76]
small,training,3537,Pop,[76]
small,training,3538,Pop,[76]
small,training,3573,Electronic,[15]
small,training,3598,Folk,[17]
small,test,3624,Rock,"[12, 89]"
small,training,3707,Folk,[17]
small,training,3708,Folk,[17]
small,training,3720,Rock,"[53, 58]"
small,training,3721,Rock,"[53, 58]"
small,training,3722,Rock,"[53, 58]"
small,training,3724,Rock,"[53, 58]"
small,training,3725,Rock,"[53, 58]"
small,training,3761,Rock,"[12, 26]"
small,training,3762,Rock,"[12, 26]"
small,training,3763,Rock,"[12, 26]"
small,training,3765,Rock,"[12, 26]"
small,training,3766,Rock,"[12, 26]"
small,training,3775,International,"[46, 117]"
small,training,3776,International,"[46, 117]"
small,training,3777,International,"[46, 117]"
small,training,3778,International,"[46, 117]"
small,training,3779,International,"[46, 117]"
small,training,3832,Folk,[17]
small,training,3833,Rock,[12]
small,training,3840,Rock,[12]
small,training,3880,Folk,[17]
small,training,3895,International,[118]
small,training,3896,International,[118]
small,training,3904,Folk,[17]
small,training,3905,Folk,[17]
small,training,3906,Folk,[17]
small,training,3908,Folk,[17]
small,training,3909,Folk,[17]
small,training,3910,Folk,[17]
small,training,3911,Folk,[17]
small,training,3912,Folk,[17]
small,training,3913,Folk,[17]
small,training,3920,Folk,[17]
small,training,3921,Folk,[17]
small,training,3950,Rock,"[12, 85]"
small,training,4013,Folk,[17]
small,training,4017,Folk,[17]
small,validation,4022,Rock,[109]
small,training,4037,Folk,[103]
small,training,4066,Folk,[33]
small,training,4067,Folk,[33]
small,training,4068,Folk,[33]
small,training,4069,Folk,[33]
small,training,4070,International,[46]
small,training,4071,International,[46]
small,training,4072,International,[46]
small,training,4073,International,[46]
small,training,4074,International,[46]
small,training,4075,International,[46]
small,training,4076,International,[46]
small,training,4077,International,[46]
small,training,4078,International,[46]
small,training,4079,International,[46]
small,training,4080,International,[46]
small,training,4091,International,"[117, 118, 130]"
small,training,4092,International,"[117, 118, 130]"
small,training,4093,International,"[117, 118, 130]"
small,training,4094,International,"[117, 118, 130]"
small,training,4095,International,"[117, 118, 130]"
small,training,4096,International,"[117, 118, 130]"
small,training,4097,International,"[117, 118, 130]"
small,training,4098,International,"[117, 118, 130]"
small,training,4099,International,"[117, 118, 130]"
small,training,4100,International,"[117, 118, 130]"
small,training,4101,International,"[117, 118, 130]"
small,training,4102,International,"[117, 118, 130]"
small,training,4103,International,"[117, 118, 130]"
small,test,4108,Rock,[12]
small,training,4232,International,"[92, 102]"
small,training,4233,International,"[92, 102]"
small,training,4234,International,"[92, 102]"
small,training,4235,International,"[92, 102]"
small,training,4236,International,"[92, 102]"
small,training,4239,International,"[92, 102]"
small,training,4450,Folk,[17]
small,training,4507,International,[77]
small,training,4508,International,[77]
small,training,4509,International,[77]
small,training,4510,International,[77]
small,training,4511,International,[77]
small,training,4519,Electronic,[15]
small,training,4520,Electronic,[15]
small,training,4521,Electronic,[15]
small,training,4522,Electronic,[15]
small,training,4682,Hip-Hop,[21]
small,training,4684,Hip-Hop,[21]
small,training,4685,Hip-Hop,[21]
small,training,4688,Hip-Hop,[21]
small,training,4777,Rock,[12]
small,training,4778,Rock,[12]
small,training,4779,Rock,[12]
small,training,4780,Rock,[12]
small,training,4781,Rock,[12]
small,training,4782,Rock,[12]
small,training,4784,Rock,[12]
small,training,4785,Rock,[12]
small,training,4786,Rock,[12]
small,training,4787,Rock,[12]
small,training,4788,Rock,[12]
small,training,4799,Rock,[12]
small,training,4835,Rock,[12]
small,training,4836,Rock,[12]
small,training,4838,Rock,[12]
small,training,4846,International,[102]
small,training,4848,International,[102]
small,training,4849,International,[102]
small,training,5006,Rock,"[25, 85]"
small,training,5156,Folk,[17]
small,training,5157,Folk,[17]
small,training,5158,Folk,[17]
small,training,5159,Folk,[17]
small,training,5169,Folk,[17]
small,training,5170,Folk,[17]
small,training,5171,Folk,[17]
small,validation,5191,Pop,[10]
small,training,5264,Hip-Hop,[21]
small,training,5268,Hip-Hop,[21]
small,training,5376,Folk,[17]
small,training,5381,Folk,[17]
small,training,5521,Experimental,[224]
small,training,5879,Folk,[94]
small,training,5936,Folk,[103]
small,training,5940,Folk,[103]
small,training,6329,International,"[2, 118]"
small,training,6330,International,"[2, 92]"
small,validation,6331,International,"[2, 118, 130]"
small,training,6332,International,"[2, 118]"
small,validation,6333,International,"[2, 102, 118]"
small,training,6342,International,"[2, 102]"
small,training,6354,International,"[2, 92]"
small,training,6357,International,"[2, 118]"
small,validation,6358,International,"[2, 118, 130]"
small,training,6360,International,"[2, 102, 118]"
small,validation,6363,International,"[2, 102, 118]"
small,training,6366,International,"[2, 102]"
small,training,6367,International,"[2, 92]"
small,validation,6368,International,"[2, 118, 130]"
small,training,6370,International,"[2, 118]"
small,validation,6372,International,"[2, 102, 118]"
small,training,6373,International,"[2, 102, 118]"
small,validation,6376,International,"[2, 118, 130]"
small,training,6379,International,"[2, 92]"
small,validation,6380,International,"[2, 102, 118]"
small,training,6381,International,"[2, 118]"
small,training,6382,International,"[2, 118]"
small,training,6383,International,"[2, 102, 118]"
small,validation,6385,International,"[2, 102, 118]"
small,training,6387,International,"[2, 118]"
small,training,6389,International,"[2, 92]"
small,validation,6390,International,"[2, 118, 130]"
